championId,verdict,refImage,bands,rawRuns,maxPairwiseDeltaE,foregroundRatio,bboxHeightRatio,framesDropped,hash,duplicateOf,bandHexes,reasons
godie-etyr,PASS,godie-etyr.png,11,19,107.77,0.9751,1.0000,0,dba6a63985afab3e,,hair=#111401 hatBand=#ffffff hatBrim=#614338 face=#fcfff9 collar=#614334 chestTrim=#fffff4 top=#000000 waist=#a09462 pants=#fbf19d shin=#b1b0a9 shoe=#000016,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3688 種像素顏色收斂成 11 條帶，3677 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-ewar,DUPLICATE,godie-ewar.png,11,29,91.71,0.9736,1.0000,0,5333a7cf4c60eb88,godie-e007,hair=#342a1a hatBand=#d8d7dd hatBrim=#5c3b32 face=#242a22 collar=#fff5f8 chestTrim=#b3b0b5 top=#fffcf8 waist=#96969b pants=#312424 shin=#6f6d6f shoe=#11190e,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3820 種像素顏色收斂成 11 條帶，3809 種中間色被眾數 + ΔE<12 併段吸收（自動修） ｜ 條碼 hash 5333a7cf4c60eb88 與 godie-e007 相同 —— 圖示重複，強制人工
godie-ewrd,PASS,godie-ewrd.png,11,22,103.92,0.9819,1.0000,0,61102ac591a54fb2,,hair=#2d251a hatBand=#000000 hatBrim=#f7701b face=#000c09 collar=#d0c9e7 chestTrim=#000000 top=#ffffff waist=#001313 pants=#ffffff shin=#171f14 shoe=#ffffff,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3735 種像素顏色收斂成 11 條帶，3724 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-h001,PASS,godie-h001.png,11,35,96.68,0.9827,1.0000,0,9891777cf770c0ab,,hair=#2b211c hatBand=#cac4c2 hatBrim=#1a191f face=#d8d3b1 collar=#f8f5f0 chestTrim=#655846 top=#f1f4ec waist=#b09774 pants=#000000 shin=#b0a782 shoe=#50535c,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3789 種像素顏色收斂成 11 條帶，3778 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-h00l,PASS,godie-h00l.png,11,39,100.00,0.9924,1.0000,0,3d1581dc9b6c3b3b,,hair=#708b34 hatBand=#000000 hatBrim=#f4edf0 face=#220a0f collar=#008ce4 chestTrim=#000000 top=#f8b595 waist=#003100 pants=#f3917b shin=#00582b shoe=#ffffff,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3992 種像素顏色收斂成 11 條帶，3981 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-h01n,PASS,godie-h01n.png,10,10,89.20,0.9863,1.0000,0,c1496591e7082cce,,hair=#202413 hatBand=#a8cdcc hatBrim=#d8e2e1 face=#100000 collar=#752622 chestTrim=#450808 waist=#802d20 pants=#000000 shin=#6a6b67 shoe=#19150f,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3266 種像素顏色收斂成 10 條帶，3256 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-h01o,DUPLICATE,godie-h01o.png,10,10,89.20,0.9863,1.0000,0,c1496591e7082cce,godie-h01n,hair=#202413 hatBand=#a8cdcc hatBrim=#d8e2e1 face=#100000 collar=#752622 chestTrim=#450808 waist=#802d20 pants=#000000 shin=#6a6b67 shoe=#19150f,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3266 種像素顏色收斂成 10 條帶，3256 種中間色被眾數 + ΔE<12 併段吸收（自動修） ｜ 條碼 hash c1496591e7082cce 與 godie-h01n 相同 —— 圖示重複，強制人工
godie-h01u,PASS,godie-h01u.png,11,25,89.63,0.9836,1.0000,0,7cc79985eb7ac2f2,,hair=#262e14 hatBand=#d5d6e0 hatBrim=#000000 face=#404247 collar=#404249 chestTrim=#000000 top=#d2a948 waist=#555554 pants=#000000 shin=#61666e shoe=#132200,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3836 種像素顏色收斂成 11 條帶，3825 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-h020,PASS,godie-h020.png,11,21,107.80,0.9790,1.0000,0,291ab8ba6f7ddfcd,,hair=#030303 hatBand=#fc8700 hatBrim=#000000 face=#e44705 collar=#000000 chestTrim=#e88f26 top=#000000 waist=#f1e2d4 pants=#000000 shin=#f2e3d1 shoe=#000000,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3675 種像素顏色收斂成 11 條帶，3664 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-h021,PASS,godie-h021.png,11,34,133.95,0.9854,1.0000,0,1fa09dc2aab6a995,,hair=#000000 hatBand=#120400 hatBrim=#ffff29 face=#000000 collar=#ffffff chestTrim=#000000 top=#f4ffe6 waist=#300604 pants=#f7f4c1 shin=#260000 shoe=#ffffff,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3636 種像素顏色收斂成 11 條帶，3625 種中間色被眾數 + ΔE<12 併段吸收（自動修）
